name,image_url,stat_value
Heung-min Son,https://img.a.transfermarkt.technology/portrait/header/91845-1669336455.jpg?lm=1,30000000
Hakan Çalhanoğlu,https://img.a.transfermarkt.technology/portrait/header/126414-1709035146.jpg?lm=1,35000000
Harry Kane,https://img.a.transfermarkt.technology/portrait/header/132098-1700211169.jpg?lm=1,90000000
Leandro Trossard,https://img.a.transfermarkt.technology/portrait/header/144028-1702412939.jpg?lm=1,30000000
Mohamed Salah,https://img.a.transfermarkt.technology/portrait/header/148455-1727337594.jpg?lm=1,55000000
Joshua Kimmich,https://img.a.transfermarkt.technology/portrait/header/161056-1700039639.jpg?lm=1,50000000
Nathan Aké,https://img.a.transfermarkt.technology/portrait/header/177476-1666733797.jpg?lm=1,32000000
Marquinhos,https://img.a.transfermarkt.technology/portrait/header/181767-1672303747.jpg?lm=1,40000000
John Stones,https://img.a.transfermarkt.technology/portrait/header/186590-1684764261.jpg?lm=1,30000000
Leroy Sané,https://img.a.transfermarkt.technology/portrait/header/192565-1694587968.jpg?lm=1,38000000
Alejandro Grimaldo,https://img.a.transfermarkt.technology/portrait/header/193082-1689710805.jpg?lm=1,40000000
Jonathan Tah,https://img.a.transfermarkt.technology/portrait/header/196357-1695367765.jpg?lm=1,30000000
Federico Dimarco,https://img.a.transfermarkt.technology/portrait/header/198116-1725531769.jpg?lm=1,60000000
Jack Grealish,https://img.a.transfermarkt.technology/portrait/header/203460-1676499047.jpg?lm=1,35000000
André Onana,https://img.a.transfermarkt.technology/portrait/header/234509-1686929812.jpg?lm=1,32000000
Bruno Fernandes,https://img.a.transfermarkt.technology/portrait/header/240306-1683882766.jpg?lm=1,55000000
Bernardo Silva,https://img.a.transfermarkt.technology/portrait/header/241641-1684311533.jpg?lm=1,45000000
Kingsley Coman,https://img.a.transfermarkt.technology/portrait/header/243714-1700040256.jpg?lm=1,35000000
Youri Tielemans,https://img.a.transfermarkt.technology/portrait/header/249565-1716886438.jpg?lm=1,35000000
Nicolò Barella,https://img.a.transfermarkt.technology/portrait/header/255942-1725531625.jpg?lm=1,80000000
João Palhinha,https://img.a.transfermarkt.technology/portrait/header/257455-1684773447.jpg?lm=1,40000000
Gregor Kobel,https://img.a.transfermarkt.technology/portrait/header/257814-1709559904.jpg?lm=1,40000000
Rúben Dias,https://img.a.transfermarkt.technology/portrait/header/258004-1684921271.jpg?lm=1,70000000
Dominic Solanke,https://img.a.transfermarkt.technology/portrait/header/258889-1708340487.jpg?lm=1,45000000
Marcus Rashford,https://img.a.transfermarkt.technology/portrait/header/258923-1674473054.jpg?lm=1,50000000
Joachim Andersen,https://img.a.transfermarkt.technology/portrait/header/260827-1668183482.jpg?lm=1,32000000
David Raya,https://img.a.transfermarkt.technology/portrait/header/262749-1668168018.jpg?lm=1,40000000
Serhou Guirassy,https://img.a.transfermarkt.technology/portrait/header/270541-1740041276.png?lm=1,40000000
Lucas Hernández,https://img.a.transfermarkt.technology/portrait/header/281963-1667830435.jpg?lm=1,30000000
Manuel Akanji,https://img.a.transfermarkt.technology/portrait/header/284730-1684165752.jpg?lm=1,32000000
Marc Cucurella,https://img.a.transfermarkt.technology/portrait/header/284857-1659559729.jpg?lm=1,30000000
Guglielmo Vicario,https://img.a.transfermarkt.technology/portrait/header/286047-1725874745.jpg?lm=1,35000000
Ousmane Dembélé,https://img.a.transfermarkt.technology/portrait/header/288230-1684148641.jpg?lm=1,75000000
Dani Olmo,https://img.a.transfermarkt.technology/portrait/header/293385-1711546268.jpg?lm=1,60000000
James Maddison,https://img.a.transfermarkt.technology/portrait/header/294057-1687982662.jpg?lm=1,50000000
Kai Havertz,https://img.a.transfermarkt.technology/portrait/header/309400-1683903902.jpg?lm=1,70000000
Trent Alexander-Arnold,https://img.a.transfermarkt.technology/portrait/header/314353-1701680958.jpg?lm=1,75000000
Brahim Díaz,https://img.a.transfermarkt.technology/portrait/header/314678-1744193327.jpg?lm=1,45000000
Jarrod Bowen,https://img.a.transfermarkt.technology/portrait/header/314875-1662362005.jpg?lm=1,45000000
Christian Pulisic,https://img.a.transfermarkt.technology/portrait/header/315779-1691696699.jpg?lm=1,50000000
Alessandro Bastoni,https://img.a.transfermarkt.technology/portrait/header/315853-1742497518.jpg?lm=1,80000000
Gianluigi Donnarumma,https://img.a.transfermarkt.technology/portrait/header/315858-1672304477.jpg?lm=1,35000000
Scott McTominay,https://img.a.transfermarkt.technology/portrait/header/315969-1718626681.jpg?lm=1,40000000
Martin Ødegaard,https://img.a.transfermarkt.technology/portrait/header/316264-1678877651.jpg?lm=1,100000000
Marcus Thuram,https://img.a.transfermarkt.technology/portrait/header/318528-1662966601.jpg?lm=1,75000000
Ollie Watkins,https://img.a.transfermarkt.technology/portrait/header/324358-1708341279.jpg?lm=1,50000000
Viktor Gyökeres,https://img.a.transfermarkt.technology/portrait/header/325443-1737581896.jpg?lm=1,75000000
Matthijs de Ligt,https://img.a.transfermarkt.technology/portrait/header/326031-1700659567.jpg?lm=1,40000000
Frenkie de Jong,https://img.a.transfermarkt.technology/portrait/header/326330-1656499973.png?lm=1,45000000
Justin Kluivert,https://img.a.transfermarkt.technology/portrait/header/330659-1596107153.jpg?lm=1,35000000
Joelinton,https://img.a.transfermarkt.technology/portrait/header/333241-1674210135.jpg?lm=1,40000000
Jonathan Burkardt,https://img.a.transfermarkt.technology/portrait/header/333647-1698840239.jpg?lm=1,35000000
Denis Zakaria,https://img.a.transfermarkt.technology/portrait/header/334526-1667990520.jpg?lm=1,30000000
Ben White,https://img.a.transfermarkt.technology/portrait/header/335721-1683275943.jpg?lm=1,50000000
Mikel Merino,https://img.a.transfermarkt.technology/portrait/header/338424-1716803831.jpg?lm=1,35000000
Theo Hernández,https://img.a.transfermarkt.technology/portrait/header/339808-1725532072.jpg?lm=1,40000000
Noussair Mazraoui,https://img.a.transfermarkt.technology/portrait/header/340456-1700207898.jpg?lm=1,32000000
Diogo Jota,https://img.a.transfermarkt.technology/portrait/header/340950-1716296423.jpg?lm=1,45000000
Kylian Mbappé,https://img.a.transfermarkt.technology/portrait/header/342229-1682683695.jpg?lm=1,170000000
Artem Dovbyk,https://img.a.transfermarkt.technology/portrait/header/343537-1719215184.jpg?lm=1,30000000
Christopher Nkunku,https://img.a.transfermarkt.technology/portrait/header/344381-1663686834.jpg?lm=1,45000000
Dayot Upamecano,https://img.a.transfermarkt.technology/portrait/header/344695-1701245272.jpg?lm=1,50000000
Alexander Isak,https://img.a.transfermarkt.technology/portrait/header/349066-1680791339.jpg?lm=1,100000000
Pervis Estupiñán,https://img.a.transfermarkt.technology/portrait/header/349599-1668498118.jpg?lm=1,30000000
Antonee Robinson,https://img.a.transfermarkt.technology/portrait/header/349701-1703926612.jpg?lm=1,35000000
Fabián Ruiz,https://img.a.transfermarkt.technology/portrait/header/350219-1718958379.jpg?lm=1,35000000
Mikel Oyarzabal,https://img.a.transfermarkt.technology/portrait/header/351478-1599987229.jpg?lm=1,30000000
Robin Le Normand,https://img.a.transfermarkt.technology/portrait/header/351809-1707948228.jpg?lm=1,40000000
Benjamin Pavard,https://img.a.transfermarkt.technology/portrait/header/353366-1713819215.jpg?lm=1,30000000
Hiroki Ito,https://img.a.transfermarkt.technology/portrait/header/353892-1657181215.jpg?lm=1,30000000
Rodrigo Bentancur,https://img.a.transfermarkt.technology/portrait/header/354362-1740605779.jpg?lm=1,30000000
Cristian Romero,https://img.a.transfermarkt.technology/portrait/header/355915-1665609429.jpg?lm=1,55000000
Ibrahima Konaté,https://img.a.transfermarkt.technology/portrait/header/357119-1669190550.jpg?lm=1,60000000
Diogo Dalot,https://img.a.transfermarkt.technology/portrait/header/357147-1727785546.jpg?lm=1,35000000
Diogo Costa,https://img.a.transfermarkt.technology/portrait/header/357153-1716296015.jpg?lm=1,38000000
Rafael Leão,https://img.a.transfermarkt.technology/portrait/header/357164-1730126553.jpg?lm=1,75000000
Dušan Vlahović,https://img.a.transfermarkt.technology/portrait/header/357498-1683293071.jpg?lm=1,45000000
Rodri,https://img.a.transfermarkt.technology/portrait/header/357565-1682587890.jpg?lm=1,130000000
Declan Rice,https://img.a.transfermarkt.technology/portrait/header/357662-1687962936.jpg?lm=1,110000000
Teun Koopmeiners,https://img.a.transfermarkt.technology/portrait/header/360518-1707302998.jpg?lm=1,40000000
Sven Botman,https://img.a.transfermarkt.technology/portrait/header/361093-1683290679.jpg?lm=1,45000000
Gabriel Jesus,https://img.a.transfermarkt.technology/portrait/header/363205-1669711141.jpg?lm=1,40000000
Moise Kean,https://img.a.transfermarkt.technology/portrait/header/364135-1725532147.jpg?lm=1,40000000
Loïs Openda,https://img.a.transfermarkt.technology/portrait/header/368887-1713944805.jpg?lm=1,60000000
Federico Valverde,https://img.a.transfermarkt.technology/portrait/header/369081-1731018042.jpg?lm=1,130000000
Ferdi Kadıoğlu,https://img.a.transfermarkt.technology/portrait/header/369316-1724792538.jpg?lm=1,30000000
Vinicius Junior,https://img.a.transfermarkt.technology/portrait/header/371998-1664869583.jpg?lm=1,200000000
Alessandro Buongiorno,https://img.a.transfermarkt.technology/portrait/header/386446-1663596475.jpg?lm=1,45000000
Leon Bailey,https://img.a.transfermarkt.technology/portrait/header/387626-1694712703.jpg?lm=1,32000000
Yoane Wissa,https://img.a.transfermarkt.technology/portrait/header/388165-1740646948.jpg?lm=1,30000000
Nico Schlotterbeck,https://img.a.transfermarkt.technology/portrait/header/388198-1709560457.jpg?lm=1,40000000
Marc Guéhi,https://img.a.transfermarkt.technology/portrait/header/392757-1683030598.jpg?lm=1,45000000
Emile Smith Rowe,https://img.a.transfermarkt.technology/portrait/header/392765-1684164628.jpg?lm=1,32000000
Davide Frattesi,https://img.a.transfermarkt.technology/portrait/header/394300-1730126974.jpg?lm=1,32000000
Boubacar Kamara,https://img.a.transfermarkt.technology/portrait/header/394327-1736160460.jpg?lm=1,38000000
Sandro Tonali,https://img.a.transfermarkt.technology/portrait/header/397033-1688389270.jpg?lm=1,45000000
Harvey Barnes,https://img.a.transfermarkt.technology/portrait/header/398065-1700650664.jpg?lm=1,30000000
Achraf Hakimi,https://img.a.transfermarkt.technology/portrait/header/398073-1672304327.jpg?lm=1,65000000
Pau Torres,https://img.a.transfermarkt.technology/portrait/header/399776-1691079911.jpg?lm=1,40000000
Jadon Sancho,https://img.a.transfermarkt.technology/portrait/header/401173-1688564217.jpg?lm=1,30000000
Edson Álvarez,https://img.a.transfermarkt.technology/portrait/header/401356-1742822886.jpg?lm=1,30000000
Éder Militão,https://img.a.transfermarkt.technology/portrait/header/401530-1719653438.jpg?lm=1,40000000
Exequiel Palacios,https://img.a.transfermarkt.technology/portrait/header/401578-1695368200.jpg?lm=1,40000000
Victor Osimhen,https://img.a.transfermarkt.technology/portrait/header/401923-1737730981.jpg?lm=1,70000000
Dávid Hancko,https://img.a.transfermarkt.technology/portrait/header/404418-1722415670.jpg?lm=1,32000000
Takefusa Kubo,https://img.a.transfermarkt.technology/portrait/header/405398-1697110254.jpg?lm=1,40000000
Ademola Lookman,https://img.a.transfermarkt.technology/portrait/header/406040-1682076571.jpg?lm=1,60000000
Lautaro Martínez,https://img.a.transfermarkt.technology/portrait/header/406625-1695024988.jpg?lm=1,95000000
Phil Foden,https://img.a.transfermarkt.technology/portrait/header/406635-1668524492.jpg?lm=1,130000000
Raphinha,https://img.a.transfermarkt.technology/portrait/header/411295-1729754479.png?lm=1,80000000
Jules Koundé,https://img.a.transfermarkt.technology/portrait/header/411975-1702502639.jpg?lm=1,60000000
Rodrygo,https://img.a.transfermarkt.technology/portrait/header/412363-1693988167.jpg?lm=1,100000000
Trincão,https://img.a.transfermarkt.technology/portrait/header/412669-1739308729.jpg?lm=1,30000000
Bryan Mbeumo,https://img.a.transfermarkt.technology/portrait/header/413039-1668505084.jpg?lm=1,50000000
Aurélien Tchouaméni,https://img.a.transfermarkt.technology/portrait/header/413112-1668500754.jpg?lm=1,80000000
Ezri Konsa,https://img.a.transfermarkt.technology/portrait/header/413403-1700651779.jpg?lm=1,35000000
Erling Haaland,https://img.a.transfermarkt.technology/portrait/header/418560-1709108116.png?lm=1,200000000
Jean-Philippe Mateta,https://img.a.transfermarkt.technology/portrait/header/420002-1723202650.jpg?lm=1,30000000
Quinten Timber,https://img.a.transfermarkt.technology/portrait/header/420213-1673870004.jpg?lm=1,32000000
Jurrien Timber,https://img.a.transfermarkt.technology/portrait/header/420243-1702413077.jpg?lm=1,50000000
Martín Zubimendi,https://img.a.transfermarkt.technology/portrait/header/423440-1684149419.jpg?lm=1,60000000
Alphonso Davies,https://img.a.transfermarkt.technology/portrait/header/424204-1711745534.jpg?lm=1,50000000
Pedro Gonçalves,https://img.a.transfermarkt.technology/portrait/header/426620-1602774745.jpg?lm=1,30000000
Morgan Gibbs-White,https://img.a.transfermarkt.technology/portrait/header/429014-1687975822.jpg?lm=1,50000000
Dejan Kulusevski,https://img.a.transfermarkt.technology/portrait/header/431755-1684943454.jpg?lm=1,60000000
Bukayo Saka,https://img.a.transfermarkt.technology/portrait/header/433177-1684155052.jpg?lm=1,150000000
Curtis Jones,https://img.a.transfermarkt.technology/portrait/header/433188-1701681163.jpg?lm=1,50000000
Cody Gakpo,https://img.a.transfermarkt.technology/portrait/header/434675-1682690965.jpg?lm=1,70000000
Gabriel Magalhães,https://img.a.transfermarkt.technology/portrait/header/435338-1684162833.jpg?lm=1,75000000
Joshua Zirkzee,https://img.a.transfermarkt.technology/portrait/header/435648-1651087961.jpg?lm=1,35000000
Charles De Ketelaere,https://img.a.transfermarkt.technology/portrait/header/435772-1659601388.jpg?lm=1,38000000
Yann Bisseck,https://img.a.transfermarkt.technology/portrait/header/441986-1742497863.jpg?lm=1,30000000
Angelo Stiller,https://img.a.transfermarkt.technology/portrait/header/443710-1723707618.jpg?lm=1,38000000
Lucas Paquetá,https://img.a.transfermarkt.technology/portrait/header/444523-1695370009.jpg?lm=1,35000000
Omar Marmoush,https://img.a.transfermarkt.technology/portrait/header/445939-1696508916.jpg?lm=1,75000000
Douglas Luiz,https://img.a.transfermarkt.technology/portrait/header/447661-1696598670.jpg?lm=1,38000000
Dominik Szoboszlai,https://img.a.transfermarkt.technology/portrait/header/451276-1700209677.jpg?lm=1,80000000
Andrea Cambiaso,https://img.a.transfermarkt.technology/portrait/header/459658-1662127057.jpg?lm=1,40000000
Tijjani Reijnders,https://img.a.transfermarkt.technology/portrait/header/460939-1676466080.jpg?lm=1,50000000
